7.000000 0.000000
6.986187 0.439533
6.944803 0.877332
6.876011 1.311668
6.780082 1.740828
6.657396 2.163117
6.508436 2.576870
6.333790 2.980453
6.134148 3.372273
5.910297 3.750785
5.663121 4.114494
5.393595 4.461965
5.102783 4.791826
4.791833 5.102777
4.461972 5.393589
4.114501 5.663116
3.750793 5.910292
3.372281 6.134144
2.980461 6.333787
2.576878 6.508433
2.163126 6.657393
1.740837 6.780080
1.311677 6.876009
0.877341 6.944802
0.439543 6.986187
0.000009 7.000000
-0.439524 6.986188
-0.877323 6.944804
-1.311659 6.876013
-1.740819 6.780085
-2.163108 6.657399
-2.576861 6.508440
-2.980444 6.333794
-3.372265 6.134153
-3.750777 5.910302
-4.114486 5.663127
-4.461958 5.393601
-4.791820 5.102790
-5.102771 4.791840
-5.393583 4.461979
-5.663110 4.114509
-5.910287 3.750800
-6.134139 3.372289
-6.333783 2.980469
-6.508429 2.576887
-6.657390 2.163135
-6.780078 1.740846
-6.876007 1.311686
-6.944801 0.877350
-6.986186 0.439552
-7.000000 0.000019
-6.986188 -0.439515
-6.944805 -0.877313
-6.876014 -1.311650
-6.780087 -1.740810
-6.657402 -2.163100
-6.508443 -2.576853
-6.333798 -2.980436
-6.134157 -3.372257
-5.910307 -3.750769
-5.663132 -4.114479
-5.393607 -4.461950
-5.102796 -4.791813
-4.791847 -5.102764
-4.461986 -5.393578
-4.114516 -5.663105
-3.750808 -5.910282
-3.372298 -6.134135
-2.980478 -6.333779
-2.576896 -6.508426
-2.163144 -6.657388
-1.740855 -6.780076
-1.311695 -6.876006
-0.877360 -6.944800
-0.439561 -6.986185
-0.000028 -7.000000
0.439505 -6.986189
0.877304 -6.944806
1.311641 -6.876016
1.740801 -6.780089
2.163091 -6.657405
2.576844 -6.508446
2.980427 -6.333802
3.372249 -6.134162
3.750761 -5.910312
4.114471 -5.663138
4.461943 -5.393613
4.791806 -5.102803
5.102758 -4.791854
5.393572 -4.461993
5.663099 -4.114524
5.910277 -3.750816
6.134130 -3.372306
6.333775 -2.980486
6.508423 -2.576904
6.657385 -2.163153
6.780073 -1.740864
6.876004 -1.311705
6.944798 -0.877369
6.986185 -0.439570
7.000000 -0.000037
